日期,时间,时间戳,币种,基准价格(00:00),当前价格,涨跌幅(%)
2026-01-03,03:30:00,1767411000,SOL,143.04000000,143.04000000,0.0000
2026-01-03,03:30:00,1767411000,STX,0.36380000,0.36380000,0.0000
2026-01-03,03:30:00,1767411000,SUI,1.78100000,1.78100000,0.0000
2026-01-03,03:30:00,1767411000,TAO,274.30000000,274.30000000,0.0000
2026-01-03,03:30:00,1767411000,TON,1.70200000,1.70200000,0.0000
2026-01-03,03:30:00,1767411000,TRX,0.30840000,0.30840000,0.0000
2026-01-03,03:30:00,1767411000,UNI,5.32200000,5.32200000,0.0000
2026-01-03,03:30:00,1767411000,XLM,0.22559000,0.22559000,0.0000
2026-01-03,03:30:00,1767411000,XRP,2.06410000,2.06410000,0.0000
2026-01-03,04:00:00,1767412800,AAVE,172.87000000,172.87000000,0.0000
2026-01-03,04:00:00,1767412800,APT,1.79200000,1.79200000,0.0000
2026-01-03,04:00:00,1767412800,BCH,599.50000000,599.50000000,0.0000
2026-01-03,04:00:00,1767412800,BNB,934.70000000,934.70000000,0.0000
2026-01-03,04:00:00,1767412800,BTC,95392.80000000,95392.80000000,0.0000
2026-01-03,04:00:00,1767412800,CFX,0.07664000,0.07664000,0.0000
2026-01-03,04:00:00,1767412800,CRO,0.10161000,0.10161000,0.0000
2026-01-03,04:00:00,1767412800,CRV,0.42790000,0.42790000,0.0000
2026-01-03,04:00:00,1767412800,DOGE,0.13801000,0.13801000,0.0000
2026-01-03,04:00:00,1767412800,DOT,2.12800000,2.12800000,0.0000
2026-01-03,04:00:00,1767412800,ETC,12.54000000,12.54000000,0.0000
2026-01-03,04:00:00,1767412800,ETH,3300.78000000,3300.78000000,0.0000
2026-01-03,04:00:00,1767412800,FIL,1.53300000,1.53300000,0.0000
2026-01-03,04:00:00,1767412800,HBAR,0.11693000,0.11693000,0.0000
2026-01-03,04:00:00,1767412800,LDO,0.61370000,0.61370000,0.0000
2026-01-03,04:00:00,1767412800,LINK,13.72800000,13.72800000,0.0000
2026-01-03,04:00:00,1767412800,LTC,72.83000000,72.83000000,0.0000
2026-01-03,04:00:00,1767412800,NEAR,1.72800000,1.72800000,0.0000
2026-01-03,04:00:00,1767412800,SOL,143.04000000,143.04000000,0.0000
2026-01-03,04:00:00,1767412800,STX,0.36380000,0.36380000,0.0000
2026-01-03,04:00:00,1767412800,SUI,1.78100000,1.78100000,0.0000
2026-01-03,04:00:00,1767412800,TAO,274.30000000,274.30000000,0.0000
2026-01-03,04:00:00,1767412800,TON,1.70200000,1.70200000,0.0000
2026-01-03,04:00:00,1767412800,TRX,0.30840000,0.30840000,0.0000
2026-01-03,04:00:00,1767412800,UNI,5.32200000,5.32200000,0.0000
2026-01-03,04:00:00,1767412800,XLM,0.22559000,0.22559000,0.0000
2026-01-03,04:00:00,1767412800,XRP,2.06410000,2.06410000,0.0000
2026-01-03,04:30:00,1767414600,AAVE,172.87000000,172.87000000,0.0000
2026-01-03,04:30:00,1767414600,APT,1.79200000,1.79200000,0.0000
2026-01-03,04:30:00,1767414600,BCH,599.50000000,599.50000000,0.0000
2026-01-03,04:30:00,1767414600,BNB,934.70000000,934.70000000,0.0000
2026-01-03,04:30:00,1767414600,BTC,95392.80000000,95392.80000000,0.0000
2026-01-03,04:30:00,1767414600,CFX,0.07664000,0.07664000,0.0000
2026-01-03,04:30:00,1767414600,CRO,0.10161000,0.10161000,0.0000
2026-01-03,04:30:00,1767414600,CRV,0.42790000,0.42790000,0.0000
2026-01-03,04:30:00,1767414600,DOGE,0.13801000,0.13801000,0.0000
2026-01-03,04:30:00,1767414600,DOT,2.12800000,2.12800000,0.0000
2026-01-03,04:30:00,1767414600,ETC,12.54000000,12.54000000,0.0000
2026-01-03,04:30:00,1767414600,ETH,3300.78000000,3300.78000000,0.0000
2026-01-03,04:30:00,1767414600,FIL,1.53300000,1.53300000,0.0000
2026-01-03,04:30:00,1767414600,HBAR,0.11693000,0.11693000,0.0000
2026-01-03,04:30:00,1767414600,LDO,0.61370000,0.61370000,0.0000
2026-01-03,04:30:00,1767414600,LINK,13.72800000,13.72800000,0.0000
2026-01-03,04:30:00,1767414600,LTC,72.83000000,72.83000000,0.0000
2026-01-03,04:30:00,1767414600,NEAR,1.72800000,1.72800000,0.0000
2026-01-03,04:30:00,1767414600,SOL,143.04000000,143.04000000,0.0000
2026-01-03,04:30:00,1767414600,STX,0.36380000,0.36380000,0.0000
2026-01-03,04:30:00,1767414600,SUI,1.78100000,1.78100000,0.0000
2026-01-03,04:30:00,1767414600,TAO,274.30000000,274.30000000,0.0000
2026-01-03,04:30:00,1767414600,TON,1.70200000,1.70200000,0.0000
2026-01-03,04:30:00,1767414600,TRX,0.30840000,0.30840000,0.0000
2026-01-03,04:30:00,1767414600,UNI,5.32200000,5.32200000,0.0000
2026-01-03,04:30:00,1767414600,XLM,0.22559000,0.22559000,0.0000
2026-01-03,04:30:00,1767414600,XRP,2.06410000,2.06410000,0.0000
2026-01-03,05:00:00,1767416400,AAVE,172.87000000,172.87000000,0.0000
2026-01-03,05:00:00,1767416400,APT,1.79200000,1.79200000,0.0000
2026-01-03,05:00:00,1767416400,BCH,599.50000000,599.50000000,0.0000
2026-01-03,05:00:00,1767416400,BNB,934.70000000,934.70000000,0.0000
2026-01-03,05:00:00,1767416400,BTC,95392.80000000,95392.80000000,0.0000
2026-01-03,05:00:00,1767416400,CFX,0.07664000,0.07664000,0.0000
2026-01-03,05:00:00,1767416400,CRO,0.10161000,0.10161000,0.0000
2026-01-03,05:00:00,1767416400,CRV,0.42790000,0.42790000,0.0000
2026-01-03,05:00:00,1767416400,DOGE,0.13801000,0.13801000,0.0000
2026-01-03,05:00:00,1767416400,DOT,2.12800000,2.12800000,0.0000
2026-01-03,05:00:00,1767416400,ETC,12.54000000,12.54000000,0.0000
2026-01-03,05:00:00,1767416400,ETH,3300.78000000,3300.78000000,0.0000
2026-01-03,05:00:00,1767416400,FIL,1.53300000,1.53300000,0.0000
2026-01-03,05:00:00,1767416400,HBAR,0.11693000,0.11693000,0.0000
2026-01-03,05:00:00,1767416400,LDO,0.61370000,0.61370000,0.0000
2026-01-03,05:00:00,1767416400,LINK,13.72800000,13.72800000,0.0000
2026-01-03,05:00:00,1767416400,LTC,72.83000000,72.83000000,0.0000
2026-01-03,05:00:00,1767416400,NEAR,1.72800000,1.72800000,0.0000
2026-01-03,05:00:00,1767416400,SOL,143.04000000,143.04000000,0.0000
2026-01-03,05:00:00,1767416400,STX,0.36380000,0.36380000,0.0000
2026-01-03,05:00:00,1767416400,SUI,1.78100000,1.78100000,0.0000
2026-01-03,05:00:00,1767416400,TAO,274.30000000,274.30000000,0.0000
2026-01-03,05:00:00,1767416400,TON,1.70200000,1.70200000,0.0000
2026-01-03,05:00:00,1767416400,TRX,0.30840000,0.30840000,0.0000
2026-01-03,05:00:00,1767416400,UNI,5.32200000,5.32200000,0.0000
2026-01-03,05:00:00,1767416400,XLM,0.22559000,0.22559000,0.0000
2026-01-03,05:00:00,1767416400,XRP,2.06410000,2.06410000,0.0000
2026-01-03,05:30:00,1767418200,AAVE,172.87000000,172.87000000,0.0000
2026-01-03,05:30:00,1767418200,APT,1.79200000,1.79200000,0.0000
2026-01-03,05:30:00,1767418200,BCH,599.50000000,599.50000000,0.0000
2026-01-03,05:30:00,1767418200,BNB,934.70000000,934.70000000,0.0000
2026-01-03,05:30:00,1767418200,BTC,95392.80000000,95392.80000000,0.0000
2026-01-03,05:30:00,1767418200,CFX,0.07664000,0.07664000,0.0000
2026-01-03,05:30:00,1767418200,CRO,0.10161000,0.10161000,0.0000
2026-01-03,05:30:00,1767418200,CRV,0.42790000,0.42790000,0.0000
2026-01-03,05:30:00,1767418200,DOGE,0.13801000,0.13801000,0.0000
2026-01-03,05:30:00,1767418200,DOT,2.12800000,2.12800000,0.0000
2026-01-03,05:30:00,1767418200,ETC,12.54000000,12.54000000,0.0000
2026-01-03,05:30:00,1767418200,ETH,3300.78000000,3300.78000000,0.0000
2026-01-03,05:30:00,1767418200,FIL,1.53300000,1.53300000,0.0000
2026-01-03,05:30:00,1767418200,HBAR,0.11693000,0.11693000,0.0000
2026-01-03,05:30:00,1767418200,LDO,0.61370000,0.61370000,0.0000
2026-01-03,05:30:00,1767418200,LINK,13.72800000,13.72800000,0.0000
2026-01-03,05:30:00,1767418200,LTC,72.83000000,72.83000000,0.0000
2026-01-03,05:30:00,1767418200,NEAR,1.72800000,1.72800000,0.0000
2026-01-03,05:30:00,1767418200,SOL,143.04000000,143.04000000,0.0000
2026-01-03,05:30:00,1767418200,STX,0.36380000,0.36380000,0.0000
2026-01-03,05:30:00,1767418200,SUI,1.78100000,1.78100000,0.0000
2026-01-03,05:30:00,1767418200,TAO,274.30000000,274.30000000,0.0000
2026-01-03,05:30:00,1767418200,TON,1.70200000,1.70200000,0.0000
